Date,Open,High,Low,Close
2007-10-19,21.958,21.958,21.958,21.958
2007-10-22,21.886,21.886,21.886,21.886
2007-10-23,22.344,22.344,22.344,22.344
2007-10-24,22.178,22.178,22.178,22.178
2007-10-25,22.141,22.141,22.141,22.141
2007-10-26,22.084,22.084,22.084,22.084
2007-10-29,22.189,22.189,22.189,22.189
2007-10-30,22.092,22.092,22.092,22.092
2007-10-31,22.104,22.104,22.104,22.104
2007-11-02,21.708,21.708,21.708,21.708
2007-11-05,21.599,21.599,21.599,21.599
2007-11-06,21.438,21.438,21.438,21.438
2007-11-07,20.877,20.877,20.877,20.877
2007-11-08,20.626,20.626,20.626,20.626
2007-11-09,20.74,20.74,19.94,20.1
2007-11-12,20,20.1,19.74,19.78
2007-11-13,19.86,20.11,19.79,19.92
2007-11-14,20.27,20.27,19.65,19.65
2007-11-15,19.7,19.7,19.06,19.21
2007-11-16,19.08,19.4,18.94,19.4
2007-11-19,19.61,19.61,19.32,19.32
2007-11-20,19.36,19.53,19.22,19.43
2007-11-21,19.14,19.31,19.12,19.23
2007-11-22,19.26,19.64,19.09,19.54
2007-11-23,19.76,19.85,19.67,19.71
2007-11-26,19.89,19.89,19.35,19.36
2007-11-27,19.28,19.38,19.14,19.23
2007-11-28,19.29,19.65,19.09,19.46
2007-11-29,19.79,19.84,19.55,19.55
2007-11-30,19.72,19.87,19.66,19.66
2007-12-03,19.82,19.82,19.49,19.51
2007-12-04,19.58,20.08,19.47,20.08
2007-12-05,18.4,18.84,18.4,18.79
2007-12-06,18.86,18.9,18.54,18.61
2007-12-07,18.7,18.72,18.52,18.66
2007-12-10,18.64,19.04,18.62,18.83
2007-12-11,18.88,18.97,18.8,18.88
2007-12-12,18.49,19.13,18.49,19.1
2007-12-13,18.95,19.03,18.72,18.77
2007-12-14,18.76,18.76,18.26,18.32
2007-12-17,18.15,18.15,17.58,17.6
2007-12-18,17.66,17.66,17.21,17.47
2007-12-19,17.51,17.51,17.19,17.38
2007-12-20,17.34,17.64,17.34,17.53
2007-12-21,17.72,17.81,17.5,17.7
2007-12-27,17.72,18.04,17.72,17.98
2007-12-28,17.9,17.92,17.62,17.68
2008-01-02,17.69,17.9,17.66,17.66
2008-01-03,17.56,17.59,17.4,17.58
2008-01-04,17.64,17.72,17.26,17.34
2008-01-07,17.21,17.24,17.08,17.17
2008-01-08,17.19,17.32,17.13,17.27
2008-01-09,17.1,17.1,16.8,16.92
2008-01-10,16.93,16.93,16.43,16.48
2008-01-11,16.417,16.487,16.227,16.227
2008-01-14,16.19,16.19,16.19,16.19
2008-01-15,16.15,16.28,15.41,15.41
2008-01-16,14.7,15.16,14.62,14.92
2008-01-17,15.26,15.26,14.79,15.21
2008-01-18,15.13,15.48,14.98,15.4
2008-01-21,14.87,15.06,14.44,14.44
2008-01-22,13.75,14.76,13.75,14.69
2008-01-23,15.11,15.11,14.31,14.66
2008-01-24,15.15,15.34,15.05,15.34
2008-01-25,15.65,15.65,15.29,15.42
2008-01-28,15.19,15.32,15.1,15.1
2008-01-29,15.38,15.62,15.34,15.62
2008-01-30,15.68,15.71,15.53,15.71
2008-01-31,15.69,15.69,15.17,15.38
2008-02-01,15.62,15.87,15.56,15.83
2008-02-04,16,16.12,15.86,15.99
2008-02-05,15.88,15.98,15.3,15.37
2008-02-06,15.04,15.5,14.95,15.43
2008-02-07,15.41,15.48,14.91,15.3
2008-02-08,15.46,15.46,15.15,15.41
2008-02-11,15.32,15.67,15.32,15.49
2008-02-12,15.7,16.1,15.57,16.05
2008-02-13,15.99,16.22,15.96,16.14
2008-02-14,16.39,16.39,16.09,16.19
2008-02-15,16.14,16.14,15.72,15.81
2008-02-18,15.89,16.32,15.89,16.29
2008-02-19,16.3,16.3,16.02,16.11
2008-02-20,15.93,16.05,15.65,15.79
2008-02-21,15.93,16,15.72,15.72
2008-02-22,15.65,15.73,15.57,15.57
2008-02-25,15.7,15.74,15.44,15.57
2008-02-26,15.64,15.85,15.3,15.36
2008-02-27,15.42,15.44,15.13,15.27
2008-02-28,15.34,15.34,15.04,15.04
2008-02-29,14.98,15.05,14.71,14.78
2008-03-03,14.44,14.78,14.29,14.78
2008-03-04,14.78,14.78,14.28,14.35
2008-03-05,14.5,14.64,14.34,14.64
2008-03-06,14.65,14.66,14.38,14.48
2008-03-07,14.28,14.38,14.14,14.38
2008-03-10,14.36,14.72,14.34,14.64
2008-03-11,14.61,14.96,14.61,14.88
2008-03-12,15.01,15.01,14.83,14.97
2008-03-13,14.76,14.97,14.54,14.58
2008-03-14,14.63,14.69,14.37,14.39
2008-03-17,14.16,14.16,13.83,14.04
2008-03-18,14.03,14.65,14.03,14.65
2008-03-19,14.64,14.81,14.44,14.76
2008-03-20,14.63,14.76,14.35,14.35
2008-03-25,17.14,17.82,17.14,17.8
2008-03-26,17.86,17.99,17.72,17.81
2008-03-27,17.96,18.08,17.81,17.95
2008-03-28,17.84,17.95,17.7,17.85
2008-03-31,17.85,17.85,17.85,17.85
2008-04-01,17.84,18.15,17.84,18.14
2008-04-02,18.31,18.31,17.95,17.98
2008-04-03,17.92,18.07,17.72,18.07
2008-04-04,18.1,18.3,18.04,18.28
2008-04-07,18.4,18.45,18.25,18.26
2008-04-08,18.26,18.26,18.07,18.1
2008-04-09,18.07,18.29,18.05,18.16
2008-04-10,18.11,18.16,17.94,17.99
2008-04-11,18.14,18.19,17.39,17.4
2008-04-14,17.37,17.38,17.11,17.23
2008-04-15,17.27,17.37,17.05,17.36
2008-04-16,17.42,17.48,17.19,17.34
2008-04-17,17.41,17.41,17.2,17.29
2008-04-18,17.29,17.54,17.28,17.48
2008-04-21,17.48,17.48,17.22,17.26
2008-04-22,17.24,17.25,16.76,16.98
2008-04-23,16.92,16.92,16.52,16.52
2008-04-24,16.65,16.8,16.51,16.71
2008-04-25,16.85,16.99,16.81,16.9
2008-04-28,17.11,17.17,16.9,17.12
2008-04-29,17.18,17.18,16.72,16.86
2008-04-30,16.8,17.09,16.7,17.02
2008-05-05,17.29,17.53,17.14,17.53
2008-05-06,17.69,17.69,17.53,17.61
2008-05-07,17.68,17.97,17.67,17.93
2008-05-08,17.76,17.85,17.67,17.71
2008-05-09,17.74,17.74,17.16,17.16
2008-05-12,17.31,17.45,17.31,17.38
2008-05-13,17.41,18.21,17.29,18.21
2008-05-14,18.4,18.49,18.37,18.49
2008-05-15,18.37,18.37,18.09,18.09
2008-05-16,18.2,18.25,16.67,16.67
2008-05-19,16.67,17.14,16.36,17.14
2008-05-20,17.16,17.16,16.78,16.78
2008-05-21,16.8,16.94,16.66,16.87
2008-05-23,16.71,16.87,16.5,16.67
2008-05-26,16.65,16.77,16.61,16.73
2008-05-27,16.78,16.84,16.64,16.74
2008-05-28,16.82,16.99,16.77,16.79
2008-05-29,16.94,16.94,16.47,16.54
2008-05-30,16.65,16.72,16.62,16.62
2008-06-02,16.7,16.7,16.48,16.52
2008-06-03,16.45,16.71,16.45,16.69
2008-06-04,16.7,16.7,16.41,16.42
2008-06-05,16.49,16.65,16.49,16.61
2008-06-06,16.81,16.88,16.53,16.55
2008-06-09,16.32,16.55,16.15,16.23
2008-06-10,15.89,16.23,15.59,15.7
2008-06-11,15.74,15.74,15.29,15.29
2008-06-12,15.21,15.59,15.21,15.58
2008-06-13,15.51,15.68,15.36,15.58
2008-06-16,15.75,15.75,15.35,15.41
2008-06-17,15.47,15.54,15.41,15.48
2008-06-18,15.53,15.62,15.18,15.62
2008-06-19,15.28,15.87,15.28,15.81
2008-06-20,15.9,15.98,15.68,15.69
2008-06-23,15.77,15.86,15.48,15.48
2008-06-24,15.63,15.66,15.3,15.42
2008-06-25,15.5,15.52,15.33,15.38
2008-06-26,15.35,15.5,15.26,15.47
2008-06-27,15.12,15.22,15.04,15.11
2008-06-30,15.13,15.13,14.87,14.95
2008-07-01,14.95,14.95,14.54,14.66
2008-07-02,14.65,14.76,14.62,14.62
2008-07-03,14.5,14.74,14.43,14.64
2008-07-04,14.66,14.66,14.48,14.5
2008-07-07,14.56,14.56,14.33,14.54
2008-07-08,14.3,14.46,14.17,14.45
2008-07-09,14.61,14.73,14.57,14.61
2008-07-10,14.43,14.6,14.24,14.24
2008-07-11,14.34,14.34,13.85,13.91
2008-07-14,14.01,14.01,13.77,13.85
2008-07-15,13.69,13.69,13.34,13.48
2008-07-16,13.47,13.54,13.35,13.4
2008-07-17,13.73,13.85,13.61,13.85
